OriginalId,Player,PlayerId
310,Matt Ryan,matt-ryan
2543583,Devonta Freeman,devonta-freeman
2495454,Julio Jones,julio-jones
2533040,Mohamed Sanu,mohamed-sanu
2539653,Robert Alford,robert-alford
2543850,Ricardo Allen,ricardo-allen
2552301,Vic Beasley,vic-beasley
2555255,De'Vondre Campbell,de-vondre-campbell
2552327,Grady Jarrett,grady-jarrett
2555162,Deion Jones,deion-jones
71375,Alex Mack,alex-mack
2495311,Terrell McClain,terrell-mcclain
2557872,Takkarist McKinley,takkarist-mckinley
2555543,Keanu Neal,keanu-neal
2556445,Brian Poole,brian-poole
2539334,Desmond Trufant,desmond-trufant
2543758,Jake Matthews,jake-matthews
71363,Andy Levitre,andy-levitre
2495283,Brandon Fusco,brandon-fusco
2541521,Ryan Schraeder,ryan-schraeder
2507828,Logan Paulsen,logan-paulsen
2559033,Ricky Ortiz,ricky-ortiz
2552453,Tevin Coleman,tevin-coleman
2555415,Austin Hooper,austin-hooper
2560854,Calvin Ridley,calvin-ridley
2558023,Eric Saubert,eric-saubert
2559109,Deante Burton,deante-burton
2532992,Jack Crawford,jack-crawford
2541431,Kemal Ishmael,kemal-ishmael
2558184,Damontae Kazee,damontae-kazee
2495218,Brooks Reed,brooks-reed
2557967,Duke Riley,duke-riley
2560869,Deadrin Senat,deadrin-senat
2532989,Derrick Shelby,derrick-shelby
2552418,Justin Hardy,justin-hardy
2504797,Matt Bryant,matt-bryant
2495124,Matt Bosher,matt-bosher
2557034,Marvin Hall,marvin-hall
2561061,Russell Gage,russell-gage
2561132,Foye Oluokun,foye-oluokun
2532792,Justin Bethel,justin-bethel
2557040,Jeff Overbaugh,jeff-overbaugh
2559924,Ito Smith,ito-smith
2556373,Wes Schweitzer,wes-schweitzer
2552366,Ty Sambrailo,ty-sambrailo
2532842,Nick Foles,nick-foles
2552600,Nelson Agholor,nelson-agholor
2506467,Darren Sproles,darren-sproles
2540158,Zach Ertz,zach-ertz
2553502,DeAndre Carter,deandre-carter
2507763,Mike Wallace,mike-wallace
2557984,Derek Barnett,derek-barnett
2533051,Fletcher Cox,fletcher-cox
2552689,Ronald Darby,ronald-darby
2558175,Nate Gerry,nate-gerry
2495613,Corey Graham,corey-graham
496788,Brandon Graham,brandon-graham
2552315,Jordan Hicks,jordan-hicks
79848,Malcolm Jenkins,malcolm-jenkins
2534832,Rodney McLeod,rodney-mcleod
2555383,Jalen Mills,jalen-mills
2556786,Destiny Vaeao,destiny-vaeao
2495250,Stefen Wisniewski,stefen-wisniewski
2539286,Lane Johnson,lane-johnson
2534434,Brandon Brooks,brandon-brooks
2505827,Jason Peters,jason-peters
2495298,Jason Kelce,jason-kelce
2552582,Jay Ajayi,jay-ajayi
2559150,Corey Clement,corey-clement
2560995,Dallas Goedert,dallas-goedert
2507617,Michael Bennett,michael-bennett
2558168,Rasul Douglas,rasul-douglas
2556363,Kamu Grugier-Hill,kamu-grugier-hill
2557958,Sidney Jones,sidney-jones
276,Chris Long,chris-long
2559260,Tre Sullivan,tre-sullivan
2558258,Shelton Gibson,shelton-gibson
2558172,Jake Elliott,jake-elliott
2559198,Cameron Johnston,cameron-johnston
2555495,Isaac Seumalo,isaac-seumalo
2556444,Josh Perkins,josh-perkins
2539291,Markus Wheaton,markus-wheaton
2555461,Wendell Smallwood,wendell-smallwood
2555196,Halapoulivaati Vaitai,halapoulivaati-vaitai
2506879,Haloti Ngata,haloti-ngata
2561338,Bruce Hector,bruce-hector
2541741,LaRoy Reynolds,laroy-reynolds
2560795,Avonte Maddox,avonte-maddox
